Invoice	Date	Item Name	Net Sales
	Mar 23, 2018	김치순두부	10.88
	Mar 23, 2018	Nestea	2.25
			66.72
417823			
	Mar 23, 2018	보쌈	24.88
	Mar 23, 2018	따로국밥	10.88
	Mar 23, 2018	ChuUm ChuRum	64.75
	Mar 23, 2018	coca-cola	7.80
			108.31
417822			
	Mar 23, 2018	족발	26.88
	Mar 23, 2018	갈비탕	12.88
	Mar 23, 2018	Open Item	2.00
			41.76
417773			
	Mar 23, 2018	갈비찜	38.88
	Mar 23, 2018	Cold Sake	16.95
			55.83
417759			
	Mar 23, 2018	군만두	9.88
	Mar 23, 2018	돌솥비빔밥	25.76
			35.64
417743			
	Mar 23, 2018	군만두	9.88
	Mar 23, 2018	오삼 불고기	33.88
			43.76
417836			
	Mar 23, 2018	찐만두	9.88
	Mar 23, 2018	군만두	9.88
	Mar 23, 2018	고등어구이	13.88
			33.64
417742			
	Mar 23, 2018	군만두	9.88
	Mar 23, 2018	밥 Rice	2.00
	Mar 23, 2018	김치순두부	10.88
			22.76
417778			
	Mar 23, 2018	군만두	9.88
	Mar 23, 2018	버섯순두부	10.88
	Mar 23, 2018	된장순두부	10.88
			31.64
417784			
	Mar 23, 2018	찐만두	9.88
	Mar 23, 2018	돌솥비빔밥	12.88
	Mar 23, 2018	ChuUm ChuRum	14.95
			37.71
417804			
	Mar 23, 2018	고등어구이	13.88
			13.88
417819			
	Mar 23, 2018	오징어불고기	14.88
	Mar 23, 2018	칼국수	10.88
	Mar 23, 2018	섞어순두부	10.88
			36.64
417744			
	Mar 23, 2018	물냉면	10.88
	Mar 23, 2018	찐만두	9.88
	Mar 23, 2018	갈비탕	12.88
	Mar 23, 2018	Open Item	4.00
			37.64
417756			
	Mar 23, 2018	물냉면	10.88
	Mar 23, 2018	비빔냉면	10.88
	Mar 23, 2018	물만두	9.88
			31.64
417786			
	Mar 23, 2018	따로국밥	10.88
	Mar 23, 2018	갈비탕	12.88
			23.76
417750			
	Mar 23, 2018	따로국밥	21.76
			21.76
417748			
	Mar 23, 2018	떡만두국	10.88
			10.88
417814			
	Mar 23, 2018	갈비탕	25.76
			25.76
417752			
	Mar 23, 2018	갈비탕	12.88
	Mar 23, 2018	Open Item	1.00
			13.88
417767			
	Mar 23, 2018	갈비탕	12.88
			12.88
417807			
	Mar 23, 2018	갈비탕	25.76
			25.76
417774			
	Mar 23, 2018	갈비탕	12.88
			12.88
417632			
	Mar 21, 2018	ChuUm ChuRum	25.90
	Mar 21, 2018	순대접시	16.88
	Mar 21, 2018	족발	26.88
			69.66
417642			
	Mar 21, 2018	ChuUm ChuRum	25.90
	Mar 21, 2018	불낙전골	29.65
	Mar 21, 2018	보쌈	21.15
			76.70
417646			
	Mar 21, 2018	Sprite	1.95
	Mar 21, 2018	Ashai	5.95
	Mar 21, 2018	해물파전	19.88
	Mar 21, 2018	오징어불고기	14.88
			42.66
417618			
	Mar 21, 2018	Open Item	2.00
	Mar 21, 2018	된장순두부	10.88
	Mar 21, 2018	갈비탕	12.88
	Mar 21, 2018	LA 갈비	19.88
			45.64
417638			
	Mar 21, 2018	밥 Rice	2.00
	Mar 21, 2018	보쌈	24.88
	Mar 21, 2018	감자탕	39.88
	Mar 21, 2018	불고기	14.88
	Mar 21, 2018	LA 갈비	39.76
	Mar 21, 2018	군만두	9.88
			131.28
417641			
	Mar 21, 2018	밥 Rice	2.00
	Mar 21, 2018	매운닭갈비	33.88
	Mar 21, 2018	Canadian Pitcher	12.95
			48.83
417647			
	Mar 21, 2018	ChuUm ChuRum	25.90
	Mar 21, 2018	Honey B Pitcher	25.90
			51.80
417577			
	Mar 21, 2018	매운닭갈비	33.88
	Mar 21, 2018	살고기국수	9.88
	Mar 21, 2018	군만두	9.88
			53.64
417617			
	Mar 21, 2018	매운닭갈비	33.88
	Mar 21, 2018	순대접시	10.88
	Mar 21, 2018	감자탕	29.88
			74.64
417628			
	Mar 21, 2018	매운닭갈비	33.88
	Mar 21, 2018	Ginger Ale	1.95
	Mar 21, 2018	김치순두부	10.88
			46.71
417599			
	Mar 21, 2018	매운닭갈비	33.88
	Mar 21, 2018	밥 Rice	4.00
	Mar 21, 2018	순대접시	22.88
	Mar 21, 2018	부대찌게	29.88
	Mar 21, 2018	즉석불고기	29.88
	Mar 21, 2018	쫄면	10.88
			131.40
417593			
	Mar 21, 2018	매운닭갈비	33.88
	Mar 21, 2018	밥 Rice	2.00
	Mar 21, 2018	군만두	9.88
			45.76
417585			
	Mar 21, 2018	매운닭갈비	33.88
	Mar 21, 2018	된장순두부	10.88
	Mar 21, 2018	Nestea	2.25
			47.01
417607			
	Mar 21, 2018	밥 Rice	2.00
	Mar 21, 2018	불낙전골	34.88
	Mar 21, 2018	보쌈	24.88
			61.76
417602			
	Mar 21, 2018	밥 Rice	2.00
	Mar 21, 2018	오삼 불고기	33.88
	Mar 21, 2018	돌솥비빔밥	12.88
			48.76
417645			
	Mar 21, 2018	Ginger Ale	1.95
	Mar 21, 2018	매운닭갈비	33.88
			35.83
417592			
	Mar 21, 2018	버섯순두부	10.88
	Mar 21, 2018	돌솥비빔밥	12.88
	Mar 21, 2018	불고기	14.88
			38.64
417630			
	Mar 21, 2018	Ginger Ale	1.95
	Mar 21, 2018	해물순두부	10.88
			12.83
417626			
	Mar 21, 2018	Honey B Pitcher	12.95
	Mar 21, 2018	족발	26.88
			39.83
417643			
	Mar 21, 2018	버섯순두부	10.88
	Mar 21, 2018	Cham Soju	27.90
	Mar 21, 2018	통갈비	31.88
			70.66
417573			
	Mar 21, 2018	밥 Rice	2.00
	Mar 21, 2018	보쌈	24.88
	Mar 21, 2018	감자탕	29.88
			56.76
417591			
	Mar 21, 2018	밥 Rice	2.00
	Mar 21, 2018	해물순두부	10.88
	Mar 21, 2018	양념치킨	18.88
	Mar 21, 2018	LA 갈비	19.88
			51.64
417590			
	Mar 21, 2018	밥 Rice	2.00
	Mar 21, 2018	감자탕	29.88
			31.88
417588			
	Mar 21, 2018	밥 Rice	2.00
	Mar 21, 2018	해물파전	19.88
	Mar 21, 2018	통갈비	31.88
	Mar 21, 2018	만두접시	17.88
			71.64
417722			
	Mar 22, 2018	닭불고기	14.88
			14.88
417678			
	Mar 22, 2018	돼지불고기	14.88
	Mar 22, 2018	불고기	14.88
	Mar 22, 2018	군만두	9.88
			39.64
417685			
	Mar 22, 2018	닭불고기	14.88
	Mar 22, 2018	감자탕	29.88
			44.76
417675			
	Mar 22, 2018	닭불고기	14.88
	Mar 22, 2018	부대찌게	29.88
			44.76
417701			
	Mar 22, 2018	통갈비	31.88
	Mar 22, 2018	물냉면	10.88
			42.76
417669			
	Mar 22, 2018	불고기	14.88
	Mar 22, 2018	살고기당면	9.88
	Mar 22, 2018	군만두	9.88
			34.64
417629			
	Mar 21, 2018	Ashai	11.90
	Mar 21, 2018	김치순두부	10.88
	Mar 21, 2018	돌솥비빔밥	12.88
	Mar 21, 2018	갈비탕	12.88
	Mar 21, 2018	불고기	14.88
			63.42
417610			
	Mar 21, 2018	Max 330ml	5.45
	Mar 21, 2018	양념치킨	18.88
	Mar 21, 2018	감자탕	29.88
			54.21
417627			
	Mar 21, 2018	만두전골	29.88
	Mar 21, 2018	coca-cola	1.95
			31.83
417719			
	Mar 22, 2018	살고기당면	9.88
			9.88
417640			
	Mar 21, 2018	Canadian Pint	3.95
	Mar 21, 2018	잡채	18.88
	Mar 21, 2018	Nestea	2.25
	Mar 21, 2018	Canadian Pitcher	12.95
	Mar 21, 2018	Tsing Tao	11.90
	Mar 21, 2018	비빔밥	10.88
	Mar 21, 2018	감자탕	39.88
	Mar 21, 2018	LA 갈비	19.88
			120.57
417582			
